company,department,title,name,theme,article_title,publish_date,article_url,keyword
303BOOKS株式会社,,ディレクター,安部孝志,チェンジャーズメンバー,授業づくりの専門家とクリエイターによる「いじめや人権、話し合おう、変えていこう。Changers（チェンジャーズ）」が、千葉大学教育学部附属中学校と共同開発したイラストレーター梅雨さんの作品を公開！,2025-11-25,https://prtimes.jp/main/html/rd/p/000000020.000019347.html,部長
303BOOKS株式会社,,編集者,小熊雅子,チェンジャーズメンバー,授業づくりの専門家とクリエイターによる「いじめや人権、話し合おう、変えていこう。Changers（チェンジャーズ）」が、千葉大学教育学部附属中学校と共同開発したイラストレーター梅雨さんの作品を公開！,2025-11-25,https://prtimes.jp/main/html/rd/p/000000020.000019347.html,部長
A.T.カーニー株式会社,,シニアパートナー,後藤治,西荻経営塾の発起人,元日産自動車副社長 星野朝子が代表に就任／女性変革リーダー育成経営塾『西荻経営塾』2026年4月に開塾,2026-01-26,https://prtimes.jp/main/html/rd/p/000000002.000174911.html,マネージャー
株式会社AbemaTV,ビジネスディベロップメント本部,本部長,山田 陸,基調講演登壇者,15回目を迎えるマーケティングカンファレンス「ad:tech tokyo 2023」が開幕。海外スピーカー来日、生成AI、Well-beingなど注目テーマのセッションも実施,2023-10-20,https://prtimes.jp/main/html/rd/p/000000146.000013647.html,マネジャー
Ａｂｉｅｓ　Ｖｅｎｔｕｒｅｓ株式会社,,マネージング・パートナー,山口 冬樹,Tech for Impact Summit 2025メンター,投資家へのDMはもう不要！50通のメールより5分の対話を。 国際会議「Tech for Impact Summit 2025」が起業家とトップ投資家メンター陣とのリアルな出会いの場を提供,2025-10-01,https://prtimes.jp/main/html/rd/p/000000022.000087132.html,部長
Ａｂｓｏｌｕｔｅ　Ｓｏｆｔｗａｒｅ株式会社,,最高製品責任者（CPO）,ジョン・ヘレマ,新製品Lenovo ThinkShield TraceLockの発表における責任者,Absolute Software、Lenovo ThinkShield TraceLockを発表　オフラインPCでも制御・セキュリティ・レジリエンスを維持,2026-06-09,https://prtimes.jp/main/html/rd/p/000000033.000098983.html,マネージャー
株式会社ADKマーケティング・ソリューションズ,,クリエイティブディレクター・アートディレクター,塚本 康太,『じゃがりこ細いやつ』アートディレクターとしてコンテスト審査員,イケてるアイテムつくったやつ、優勝！？「じゃがりこドリーム２nd　『じゃがりこ細いやつ』グッズデザインコンテスト」を開催！2024年10月4日（金）より募集開始！,2024-10-04,https://prtimes.jp/main/html/rd/p/000001418.000030525.html,マネジャー
株式会社ＡＬＬ　ＳＴＡＲ　ＳＡＡＳ　ＦＵＮＤ,,Partner,神前達哉,IVS2026サイドイベントモデレーター,AZOO代表・横田、IVS2026公式サイドイベントに登壇 ― ホテル運営AI化の実践知をもとに「AI時代のSaaS」を議論,2026-07-01,https://prtimes.jp/main/html/rd/p/000000068.000065553.html,マネージャー
株式会社ＡＬＬ　ＳＴＡＲ　ＳＡＡＳ　ＦＵＮＤ,,マネージングパートナー,前田ヒロ,IVS2023 LAUNCHPAD KYOTO審査員,起業家の登竜門「IVS2023 LAUNCHPAD KYOTO」の審査員が続々と決定。応募締め切りまで残り6日 #IVS2023,2023-04-06,https://prtimes.jp/main/html/rd/p/000000081.000059319.html,マネジャー
合同会社ＡＬＰＨＡ,,General Partner,田中正人,シリーズAラウンド出資者（リード投資家）,喪服レスキューがシリーズAラウンドで約5億円の資金調達を実施,2026-07-08,https://prtimes.jp/main/html/rd/p/000000017.000112962.html,部長
株式会社Ａｍａｚｏｎ,,,原田歩美,ステージで挨拶・企業取り組み紹介,【名古屋市】 全国初の官・民・ボランティアが共創した保護犬・保護猫の大型譲渡会「わんにゃん出逢いフェス」を実施,2026-03-09,https://prtimes.jp/main/html/rd/p/000000032.000153701.html,課長
株式会社Ａｍａｚｏｎ,Ads サプライ・クオリティ・パートナーシップ部門,責任者（Head of Supply Quality Partnerships）,パヴァン・ラジクマール,IASのMRC認定取得に関するコメント,IAS、Amazon プロパティにおけるインプレッション、ビューアビリティ、無効トラフィック計測で MRC 認定を取得,2025-11-14,https://prtimes.jp/main/html/rd/p/000000129.000014440.html,マネージャー
合同会社ＡＭＤ,インダストリアル・ロボティクス・ヘルスケア部門,シニアディレクター,アメイ・デオスタリ,conga-TCRP1ポートフォリオ拡充についてのコメント,【プレスリリース】 要求の厳しいアプリケーションに対応するスケーラブルなエッジパフォーマンス,2026-03-24,https://prtimes.jp/main/html/rd/p/000000070.000081061.html,マネージャー
合同会社ＡＭＤ,データセンター・ソリューション・ビジネス・グループ,エグゼクティブ・バイスプレジデント兼ゼネラル・マネージャー,Forrest Norrod,AMD Instinct GPU搭載OCI提携の推進責任者,オラクルとAMDがパートナーシップを拡大し、お客様が次世代のAIに対応する規模を実現できるよう支援,2025-10-23,https://prtimes.jp/main/html/rd/p/000000435.000057729.html,マネージャー
合同会社ＡＭＤ,データセンター・エコシステム&ソリューション,コーポレートバイスプレジデント,ラグー・ナンビア,AMD EPYCプロセッサーとConfidential Computingに関する見解,タレス、グーグル・クラウドとの関係拡大により、クラウドにおける顧客との信頼性を向上,2022-02-24,https://prtimes.jp/main/html/rd/p/000000009.000037555.html,マネジャー
ANAホールディングス株式会社,未来創造室,上席執行役員,津田佳明,出資決定と事業連携,株式会社AlgaleX、シリーズAで3.5億円を調達,2026-07-10,https://prtimes.jp/main/html/rd/p/000000023.000076018.html,部長
ANAホールディングス株式会社,広報・コーポレートブランド推進部,課長,槻本 裕和,SNSマーケ戦略セミナー講師,【来週開催｜会場図公開】マーケティング業界専門展示会【2月27日(木)-28日(金) / 東京ビッグサイト 東4ホール】,2025-02-18,https://prtimes.jp/main/html/rd/p/000000161.000011263.html,課長
Animoca Brands株式会社,,Director Of Strategic Partnerships,金井 玄,番組出演者,豪華メンバーが出演！NFT・ブロックチェーンゲームが可能にする未来に迫る。『トレーダーズライブ！』第3回が2020年6月9日19時から放送決定,2020-05-25,https://prtimes.jp/main/html/rd/p/000000010.000032890.html,マネジャー
株式会社ANOBAKA,,シニアアソシエイト,小林 晃,生成AI特化ファンドからの出資コメント,AI税務OS「CFOne」、プレシリーズAラウンドにて総額1.7億円の資金調達を実施。累計調達額は2億円に,2026-06-19,https://prtimes.jp/main/html/rd/p/000000002.000183508.html,部長
株式会社ANOBAKA,,パートナー,萩谷 聡,投資家コメント,"【設立3ヶ月で約1億円の資金調達】世界市場1,300兆円の建設業界において、特注建設部材の調達サービスを展開する株式会社BALLAS",2022-05-10,https://prtimes.jp/main/html/rd/p/000000001.000100360.html,マネジャー
ANRI株式会社,,ジェネラル・パートナー,佐俣アンリ,JAFCO SEED Pitch審査員,JAFCO SEED 2026、全登壇者が確定。経済産業省・東京証券取引所・Anthropic・LayerXなど、官民・グローバルの第一線が集結。参加登録受付中【8/3締切】,2026-07-13,https://prtimes.jp/main/html/rd/p/000000103.000057515.html,課長
ANRI株式会社,,ジェネラル・パートナー,佐俣 アンリ,JAPANセッション登壇者,中高生が考える日本の未来とは　次世代イノベーターのプレゼンをradiko podcastで配信開始！国内最大規模のスタートアップイベント「IVS」と連携,2026-07-10,https://prtimes.jp/main/html/rd/p/000000101.000007490.html,部長
ANRI株式会社,,General Partner,宮﨑勇典,プレシリーズA資金調達への投資判断と支援,YStory、プレシリーズAの資金調達を実施。女性の健康課題を支えるデジタルヘルス基盤の展開を本格化,2026-04-27,https://prtimes.jp/main/html/rd/p/000000012.000122669.html,部長
ANRI株式会社,,Senior Associate,金井絵里花,プレシリーズA資金調達への投資判断と支援,YStory、プレシリーズAの資金調達を実施。女性の健康課題を支えるデジタルヘルス基盤の展開を本格化,2026-04-27,https://prtimes.jp/main/html/rd/p/000000012.000122669.html,部長
ANRI株式会社,,Principal,元島勇太,出資者コメント,ゴーレム、ANRI・清水建設・竹中工務店・阪急阪神不動産・MIRAITRONCより総額8億円を調達,2026-02-12,https://prtimes.jp/main/html/rd/p/000000012.000148643.html,部長
ANRI株式会社,,シニアプリンシパル,中路隼輔,投資家として人文奨学金プログラムを手がけ、2020年代の思想的基盤に関するセッション登壇,知と文化のインキュベーション拠点「Unknown Unknown」が2026年2月に神保町で開業。2月7日、8日に「2020s」をテーマとしたオープニングパーティを開催,2026-01-16,https://prtimes.jp/main/html/rd/p/000000018.000109034.html,マネージャー
ANRI株式会社,,シニアアソシエイト,洪きか,投資家コメント,"カップルTechのすきだよ、シードラウンドにて総額8,500万円の資金調達を実施",2026-01-14,https://prtimes.jp/main/html/rd/p/000000014.000053340.html,マネージャー
ANRI株式会社,,General Partner,河野 純一郎,Demo Day審査員,シードVCのジェネシア・ベンチャーズが主催する創業支援プログラム『Ignition Academy 2024』、Demo Dayに参加する審査員陣を発表,2024-09-30,https://prtimes.jp/main/html/rd/p/000000138.000056091.html,マネジャー
ANRI株式会社,,シニアアソシエイト,江原ニーナ,イベントスピーカー、投資戦略に関する登壇,ヘイCEOの佐藤裕介氏、おつり投資「トラノコ」の藤井亮助氏などフィンテックのキーパーソンが登壇！【12/16（水） 無料オンラインイベント開催】,2020-11-30,https://prtimes.jp/main/html/rd/p/000000013.000047016.html,マネジャー
株式会社Ａｎｔｉｇｒａｖｉｔｙ,,イベントマネージャー,Jialin,新製品発表会でのA1の魅力紹介,Antigravity A1 新製品発表会を開催—世界初８K360度全景ドローンによる未来の飛行へ,2025-12-19,https://prtimes.jp/main/html/rd/p/000000114.000052813.html,マネージャー
AnyMind Group株式会社,,マレーシア カントリーマネージャー,Lee Chin Chuan,マレーシアにおけるREDクリエイターネットワーク拡大に関するコメント,AnyMind Group、マレーシアにおける「RED（小紅書）」クリエイターネットワークを拡大,2026-07-09,https://prtimes.jp/main/html/rd/p/000000663.000018392.html,マネージャー
Ａｒｃｈｅｔｙｐｅ　Ｖｅｎｔｕｒｅｓ合同会社,,Managing Partner,中嶋 淳,Series A投資家コメント,パワーウェーブ、Series Aラウンドで総額9.1億円を調達。走行中給電を可能にする広範囲ワイヤレス給電の製品化・量産準備と現場導入を加速。,2026-01-30,https://prtimes.jp/main/html/rd/p/000000005.000093553.html,部長
Ａｒｃｈｅｔｙｐｅ　Ｖｅｎｔｕｒｅｓ合同会社,,Principal,中村 聡志,Series A投資家コメント,パワーウェーブ、Series Aラウンドで総額9.1億円を調達。走行中給電を可能にする広範囲ワイヤレス給電の製品化・量産準備と現場導入を加速。,2026-01-30,https://prtimes.jp/main/html/rd/p/000000005.000093553.html,部長
Ａｒｃｈｅｔｙｐｅ　Ｖｅｎｔｕｒｅｓ合同会社,,パートナー,向川恭平,DEMO DAY審査員,ベンチャーキャピタルON＆BOARD 創業支援プログラム第3期「Out of BOUNDS」DEMO DAYをGlobal Business Hub Tokyoにて10月30日開催決定,2025-09-24,https://prtimes.jp/main/html/rd/p/000000031.000145220.html,マネージャー
合同会社ＡＲＭ,自動車事業,シニアバイスプレジデント兼ゼネラルマネージャー,Dipti Vachani,SDV Acceleratorパートナー企業のコメント,HEREとAWS、「SDV Accelerator」により自動車ソフトウェア開発の新時代創出へ,2025-09-10,https://prtimes.jp/main/html/rd/p/000000007.000121823.html,マネージャー
株式会社ＡＳＡＮＡ,,最高製品責任者,Arnab Bose,AIチームメイト導入効果に関するコメント,Asana、AIチームメイトの一般提供を開始「エージェンティック・エンタープライズ（エージェント型企業）」を構想から実証フェーズへ,2026-03-17,https://prtimes.jp/main/html/rd/p/000000031.000052000.html,マネージャー
ASF株式会社,社長室 兼 事業企画部,執行役員 兼 部長,松本 勝成,講演者として登壇,経産省、セイノー、日本郵便、サントリー、NEXT Logistics Japan他から講演多数 『ReVision商用車・物流サミット2024』 2月29日開催,2024-02-08,https://prtimes.jp/main/html/rd/p/000000057.000028236.html,課長
Ａｓｔｅｍｏ　Ｃｙｐｒｅｍｏｓ株式会社,,執行役 シニアバイスプレジデント CTO,内田 直之,自動運転・ADAS&SDVサミット登壇者,【10月8・9・10日の連続開催】クルマの価値創造へ向けた注目のカンファレンス｜ホンダ、日産、ソニー・ホンダモビリティ、BYD Auto Japan他から登壇,2025-09-08,https://prtimes.jp/main/html/rd/p/000000075.000028236.html,部長
AWA株式会社,,,奥田久美子,音楽業界のエキスパートとして著書に寄稿,音楽業界に就職・転職したい人は必読！読めば、業界の現在（いま）と未来（これから）をリアルに実感！,2023-10-04,https://prtimes.jp/main/html/rd/p/000005481.000005875.html,マネジャー
AWS株式会社,米国自動車・製造業,ゼネラルマネージャー,Michael Choe,AWSとPTCの協力とクラウドネイティブプラットフォーム戦略,PTC、Onshapeにクラウドネイティブのモデルベース定義（MBD）機能を新たに搭載,2026-03-09,https://prtimes.jp/main/html/rd/p/000000031.000099939.html,マネージャー
株式会社AWS JAPAN,,,三室佑貴,セッションモデレータ,ビジネス＆カルチャーカンファレンス「RISE KANSAI 2026」タイムテーブルを発表。ユーグレナ出雲充氏、さくらインターネット田中邦裕氏、シンガーソングライターMINMI氏など多彩なゲストが登場,,https://prtimes.jp/main/html/rd/p/000000012.000165475.html,部長
合同会社Ｂ．ｅ,,ブランドマネジャー,桐山依子,カーボンニュートラルに関するトークセッションの登壇者,「サステナブルファッションウィーク2022」開催！ファッションブランド・コスメブランド・素材企業などファッションを取り巻くみんなで考える未来,2022-04-14,https://prtimes.jp/main/html/rd/p/000000037.000032254.html,マネジャー
合同会社ｂｅＲｅａｌ,,日本事業責任者,笹川明人,トークセッション登壇者,【WWDJAPAN】「ビューティテイスト・トーキョー2026」を2月21日に開催！,2026-02-10,https://prtimes.jp/main/html/rd/p/000000172.000080364.html,マネージャー
合同会社ｂｅＲｅａｌ,,アカウントエグゼクティブ,大友淑,トークセッション登壇者,【WWDJAPAN】「ビューティテイスト・トーキョー2026」を2月21日に開催！,2026-02-10,https://prtimes.jp/main/html/rd/p/000000172.000080364.html,マネージャー
合同会社ｂｅＲｅａｌ,広告事業本部,Head of Strategic Client Lead,国定 希生,セミナー講師、BeReal.広告事業の責任者,Z世代の心を掴むBeReal.。広告は“事業成長の武器”となるか。媒体社と出す「2026年・活用判断」の最終決着。特別セミナー1/29開催。,2026-01-22,https://prtimes.jp/main/html/rd/p/000000210.000071371.html,マネージャー
合同会社ｂｅＲｅａｌ,,代理店パートナーシップリード兼 コンテンツソリューションマネージャー,国定希生,SESSION 03登壇者、Z世代マーケティング,～ソーシャルメディアの未来を先駆者たちと考える大型カンファレンス～「SNSミライ会議 2025」2月12日（水）・13日（木）開催,2025-01-31,https://prtimes.jp/main/html/rd/p/000000145.000044523.html,マネジャー
株式会社Ｂｉｒｉｃｈｉｎａｔａ,,Owner Chef,齊城 庸平,コラボレーションイベント「変生」のオーナーシェフ,【国内初個展】Artist Rinaによるインスタレーション『食の鼓動 - The Pulse of Food -』を大阪・心斎橋で開催,2026-05-07,https://prtimes.jp/main/html/rd/p/000000001.000178888.html,マネージャー
ＢＬＡＣＫ　ＴＩＤＥ　ＢＲＥＷＩＮＧ合同会社,営業部,営業部長,丹治和也,応援メッセージ,【社名変更のお知らせ】meuron株式会社は、定期便サービス5周年の節目にBrewtope株式会社へ。サービス5周年記念の企画として「クラフトビール専門Podcastインタビュー番組」を開始！,2024-10-22,https://prtimes.jp/main/html/rd/p/000000136.000020760.html,課長
Black Line株式会社,,Chief Technology Officer,Jeremy Ung,ブラックラインセッション登壇者,ブラックライン、CFO・経理財務プロフェッショナル向け年次カンファレンス「BlackLine Summit 2026」を2/25（水）に開催,2026-02-12,https://prtimes.jp/main/html/rd/p/000000014.000054368.html,部長
Black Line株式会社,,"SVP, Finance Solutions & Technology",Michael Polaha,ブラックラインセッション登壇者,ブラックライン、CFO・経理財務プロフェッショナル向け年次カンファレンス「BlackLine Summit 2026」を2/25（水）に開催,2026-02-12,https://prtimes.jp/main/html/rd/p/000000014.000054368.html,部長
株式会社ＢＯＫＵ,,日本カントリーマネジャー,大坪直哉,日本市場の責任者として記載,"ネットプロテクションズの後払い決済「atone」がBoku,Inc.とシステム連携",2026-06-26,https://prtimes.jp/main/html/rd/p/000000534.000022451.html,マネージャー
株式会社Ｂｒｉｇｈｔｕｒｅ,,シニアマネージャー,松井 博,オンライン留学カリキュラム監修,元アップル　シニアマネージャー監修のオンライン語学留学 ― 「アルク×Brighture オンライン留学」提供開始,2020-08-07,https://prtimes.jp/main/html/rd/p/000001327.000000888.html,マネジャー
合同会社ＢＴ,,チーフネットワークオフィサー,グレッグ・マッコール,VMware Telco Cloud Platform導入に関するコメント,Broadcom、ソブリン対応の通信インフラ向けにハードウェア効率を向上させるVMware Telco Cloud Platform 9を発表,2026-03-06,https://prtimes.jp/main/html/rd/p/000000214.000014392.html,マネージャー
Bytedance株式会社,TikTok Shop Japan,Beauty Category Manager,池田 千鶴,TikTok Shop Japanビューティー領域戦略のセミナー登壇,【来週開催｜会場図公開】国内最大のEC業界展示会【2月26日(木)-27日(金) / 東京ビッグサイト 東7ホール】,2026-02-19,https://prtimes.jp/main/html/rd/p/000000204.000011263.html,マネージャー
Ｃａｎｖａ　Ｊａｐａｎ株式会社,,Canva教育版統括マネージャー,坂本良晶,基調講演講師「生成AI時代、東川の教育をどう進めるか」,【北海道東川町】「LIPフェス2026」開催～中高生と大人のための学び合いの場～,2026-07-09,https://prtimes.jp/main/html/rd/p/000000094.000059574.html,マネージャー
Centric Software株式会社,,"VP, Centric PXM - APAC",渡辺 信明,オープニングセッション登壇,商品情報が生み出す新たな体験価値を探る - 「Product Experience Summit Tokyo 2025」11月7日(金) シャングリ・ラ東京で開催,2025-10-21,https://prtimes.jp/main/html/rd/p/000000075.000040168.html,マネージャー
株式会社chocolate.,,,栗林和明,トークセッション登壇者,「ほぼ日マンガ部」、はじまります。,2026-02-13,https://prtimes.jp/main/html/rd/p/000000481.000043019.html,部長
株式会社chocolate.,Animation Unit,部長/プロデューサー,野田楓子,オンラインセミナー講師として登壇,【聴講無料】『KILLTUBE』プロデューサー 野田楓子氏が登壇！アニメ業界のキャリア形成で学生が今から意識すべき“思考とインプット”を語るオンラインセミナー開催,2026-01-13,https://prtimes.jp/main/html/rd/p/000000048.000110845.html,部長
株式会社cinra,,アカウントプランナー,坂井俊之,エシカルまちづくりプロジェクトについて紹介,AIと歩むビジネスを確立ー信頼できる仕組みつくり　月刊『事業構想』2026年8月号発売,2026-07-01,https://prtimes.jp/main/html/rd/p/000000564.000036930.html,部長
合同会社ＣＩＲＣＬＥ,,"Vice President, Strategy & Public Policy APAC",David A. Katz,デジタル通貨カンファレンスの登壇者,官民・金融・Web3・国際機関が集結「デジタル通貨カンファレンス 2026」開催のお知らせ,2026-01-30,https://prtimes.jp/main/html/rd/p/000000081.000047016.html,部長
Ｃｉｒｃｕｌａｒｉｓｅ　Ｊａｐａｎ株式会社,,プロジェクト・オペレーション・リード,上野 浩太郎,プロダクト紹介とクロージングの講師,【セミナーのお知らせ】EUデジタル・プロダクト・パスポート（DPP）対応の実務 ～日本企業に求められる法規制対応～,2026-06-12,https://prtimes.jp/main/html/rd/p/000000378.000088324.html,マネジャー
Cloudera株式会社,Applied AI事業部,最高事業責任者兼Applied AI事業部長（Chief Business Officer and GM of Applied AI）,アーバス・リッキー,パートナーシップの意義についてのコメント発表,ClouderaとVAST Data、あらゆる環境でAIデータプラットフォームを提供する戦略的パートナーシップを発表,2026-07-15,https://prtimes.jp/main/html/rd/p/000000055.000124537.html,部長
Cloudera株式会社,,最高製品責任者（CPO）,Leo Brunnick,プラットフォームアップデートについてのコメント,Cloudera、AI駆動のフェデレーションとリネージによって統合データアクセスとガバナンスを推進,2025-11-20,https://prtimes.jp/main/html/rd/p/000000031.000124537.html,マネージャー
Cloudera株式会社,,最高技術責任者 (CTO),セルジオ・ガゴ,AI導入の課題と企業支援方針についてのコメント,Cloudera調査：96%の企業がAIを基幹業務に導入―AIは競争優位から必須要件へ,2025-09-29,https://prtimes.jp/main/html/rd/p/000000029.000124537.html,マネージャー
Cloudera株式会社,連邦民間・SLED担当,バイスプレジデント,Dario Perez,GovRAMP認証取得についてのコメント,Cloudera Government Solutions が 米政府GovRAMP® 認証を取得 ― 州・地方行政機関や教育機関のセキュアで AI 駆動なデータ活用を支援,2025-09-19,https://prtimes.jp/main/html/rd/p/000000028.000124537.html,マネージャー
株式会社Ｃｏａｌｉｓ,,GP,久保田雅也,Women's AI Day登壇者,AI女性リーダーカンファレンス「Women's AI Day」に東京都 松本明子副知事が登壇,2025-02-26,https://prtimes.jp/main/html/rd/p/000000054.000117465.html,課長
株式会社ＣＯＭＢＯ,,,中村 洋基,投資家コメント提供,コミュニティ専用オウンドプラットフォーム「OSIRO」を提供するオシロ、「コミュニティマネージャーAI化」のさらなる進化に向け総額5.15億円のシリーズA資金調達を実施,2023-02-28,https://prtimes.jp/main/html/rd/p/000000027.000053812.html,マネジャー
株式会社Coral Capital,,創業パートナー,澤山陽平,投資家コメント・シリーズC投資,病院向け基幹システムのヘンリー、シリーズCラウンドにて総額30億円の資金調達を実施,2026-05-14,https://prtimes.jp/main/html/rd/p/000000020.000102549.html,部長
株式会社Coral Capital,,Head of DPI,石川亮太朗,イベント登壇者として紹介,【イベント案内】売上前年比3倍の急成長企業が選択した戦略的なM&Aとは,2026-01-22,https://prtimes.jp/main/html/rd/p/000000315.000034249.html,マネージャー
株式会社Coral Capital,,アソシエイト,嶋田 圭吾,Tech for Impact Summit 2025メンター,投資家へのDMはもう不要！50通のメールより5分の対話を。 国際会議「Tech for Impact Summit 2025」が起業家とトップ投資家メンター陣とのリアルな出会いの場を提供,2025-10-01,https://prtimes.jp/main/html/rd/p/000000022.000087132.html,部長
株式会社Coral Capital,,Founding Partner,澤山 陽平,Demo Day審査員,シードVCのジェネシア・ベンチャーズが主催する創業支援プログラム『Ignition Academy 2024』、Demo Dayに参加する審査員陣を発表,2024-09-30,https://prtimes.jp/main/html/rd/p/000000138.000056091.html,マネジャー
Coreline Ventures株式会社,,CO-FOUNDER GENERAL PARTNER,原 健一郎,投資家コメント・事業成長への期待,鉄鋼業界の脱炭素化の実現を目指すEVERSTEEL、三井物産・Coreline VenturesよりシリーズAラウンドの資金調達,2026-01-30,https://prtimes.jp/main/html/rd/p/000000024.000103001.html,部長
Coupa株式会社,,最高製品・テクノロジー責任者（CPTO）,サルバトーレ・ロンバルド,ガートナー マジック・クアドラント評価およびCoupa Composeに関するコメント,Coupa、2026年ガートナー® マジック・クアドラント™の買掛金（AP）アプリケーション部門において「リーダー」に選出（抄訳版）,2026-07-14,https://prtimes.jp/main/html/rd/p/000000071.000077848.html,マネージャー
CRAFT株式会社,,グローバルマーケティングディレクター,Eric Sarin,デザインチームの統括・フットウェアデザイナー,北欧発スポーツブランド「CRAFT（クラフト）」が、「第17回富士忍野高原トレイルレース」出走権プレゼントキャンペーンを開始,2026-04-09,https://prtimes.jp/main/html/rd/p/000000234.000001538.html,マネージャー
ＣＲＲ　Ｇｌｏｂａｌ　Ｊａｐａｎ合同会社,,ファカルティ兼共同経営者,黒田俊介,リーダーシッププログラムの講師,リプロキャリア、女性部長・役員・取締役育成のための少人数・異業種交流型リーダーシッププログラム＋コミュニティ「Ready for Leadership」を2023年11月より開始。1期生を募集。,2023-08-28,https://prtimes.jp/main/html/rd/p/000000012.000049588.html,課長
株式会社ＣＴＩジャパン,,ファカルティ コーチ（PCC）,原口裕美,リーダーシッププログラムの講師,リプロキャリア、女性部長・役員・取締役育成のための少人数・異業種交流型リーダーシッププログラム＋コミュニティ「Ready for Leadership」を2023年11月より開始。1期生を募集。,2023-08-28,https://prtimes.jp/main/html/rd/p/000000012.000049588.html,課長
株式会社cursor,エンジニアリング,責任者,ジョシュア・マー,MCPとSkillsの導入効果のコメント,Amplitude、新時代のプロダクト体験を実現するエージェント型AI分析機能を発表,2026-02-18,https://prtimes.jp/main/html/rd/p/000000056.000048450.html,部長
