company,name,dept_title,event_title,event_date,event_url,status
,,,データ爆発時代に備える。効果的なデータストレージの活用に関する調査,2026-05-13,https://www.sbbit.jp/eventinfo/detail/88828,登壇者情報なし
『ディープラーニングG検定 最強の合格問題集』著者,ヤン ジャクリン,株式会社GRI データ分析官・講師,G検定最強の合格講座2026 生成AI技術基礎編,2026-03-01,https://www.sbbit.jp/eventinfo/detail/88661,OK
『ディープラーニングG検定 最強の合格問題集』著者,ヤン ジャクリン,株式会社GRI データ分析官・講師,G検定最強の合格講座2026 AI法務倫理編,2026-03-01,https://www.sbbit.jp/eventinfo/detail/88050,OK
,,,Gemini実務完全攻略講座,2026-05-14,https://www.sbbit.jp/eventinfo/detail/88510,登壇者情報なし
,稲田 豊史,,オンデマンド Z世代攻略 実践講座 ,2026-01-20,https://www.sbbit.jp/eventinfo/detail/87567,OK
森・濱田松本法律事務所,篠原 孝典,パートナー,【オンデマンド】保険業法改正と金融行政の最新動向 比較推奨・便宜供与・顧客本位の運営とデジタル化の行方,2025-12-16,https://www.sbbit.jp/fj/eventinfo/detail/87892,OK
NTTドコモビジネス株式会社,林 雅之,エバンジェリスト （イノベーションセンター IOWN推進室所属） 国際大学GLOCOM客員研究員,オンデマンド講座：次世代デジタルインフラ IOWN 徹底解説,2026-01-14,https://www.sbbit.jp/eventinfo/detail/87552,OK
,,,データ爆発時代に備える。効果的なデータストレージの活用に関する調査,2026-05-13,https://www.sbbit.jp/eventinfo/detail/88825,登壇者情報なし
一般社団法人日本暗号資産等取引業協会（JVCEA） 会長,小田 玄紀,SBIホールディングス株式会社常務執行役員,オンデマンド デジタル金融資産新規事業開発講座,2026-01-16,https://www.sbbit.jp/fj/eventinfo/detail/87566,OK
株式会社Ginco,川口 知宏,CSO (最高戦略責任者),オンデマンド デジタル金融資産新規事業開発講座,2026-01-16,https://www.sbbit.jp/fj/eventinfo/detail/87566,OK
,,,ChatGPT超活用講座,2026-05-14,https://www.sbbit.jp/eventinfo/detail/88512,登壇者情報なし
,,,Claude超活用講座,2026-05-14,https://www.sbbit.jp/eventinfo/detail/88511,登壇者情報なし
,,,,2026-05-22,https://www.sbbit.jp/eventinfo/detail/88827,登壇者情報なし
慶應義塾大学大学院,岸 博幸,メディアデザイン研究科 教授,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
経済産業省,佐藤 公平,商務情報政策局 情報技術利用促進課 課長補佐,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
一般社団法人日本デジタルトランスフォーメーション推進協会,森戸 裕一,代表理事,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
Ｓｋｙ株式会社,福見 英敏,ICTソリューション事業本部 営業部 営業次長,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
デル・テクノロジーズ株式会社,佐々木 邦彦,レベニューオペレーション統括本部 プロダクトマーケティング 部長,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
株式会社SmartHR,森田 葉月,ブランディング統括本部,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
Sansan株式会社,對馬 睦,Bill One事業部 マーケティング部 オフラインプロモーショングループ マネジャー,【見逃し配信】中堅中小企業・スタートアップDX&AIカンファレンス 2026 夏 REPLAY,2026-06-18,https://www.sbbit.jp/eventinfo/detail/89334,OK
慶應義塾大学,田中 宗,理工学部物理情報工学科,量子コンピューティング最前線 ―研究・産業・法務の視点からみる量子技術の可能性とリスク ―,2026-06-29,https://www.sbbit.jp/eventinfo/detail/89360,OK
デロイト トーマツ グループ,寺部 雅能,量子技術統括,量子コンピューティング最前線 ―研究・産業・法務の視点からみる量子技術の可能性とリスク ―,2026-06-29,https://www.sbbit.jp/eventinfo/detail/89360,OK
創・佐藤法律事務所,水嶋 優,弁護士,量子コンピューティング最前線 ―研究・産業・法務の視点からみる量子技術の可能性とリスク ―,2026-06-29,https://www.sbbit.jp/eventinfo/detail/89360,OK
,,,経理財務DXの実装最前線,2026-06-19,https://www.sbbit.jp/eventinfo/detail/89374,登壇者情報なし
ISACA名古屋支部,花田 経子,慶應義塾大学大学院 メディアデザイン研究科附属 メディアデザイン研究所 所員,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
株式会社デンソー,平永 敬一郎,情報セキュリティ推進部 製品セキュリティ室長 SOMRIE®セキュリティスペシャリスト シニア,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
野球評論家,川上 憲伸,,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
【聞き手】,いがらし あみ,フリーアナウンサー,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
株式会社エーアイセキュリティラボ,阿部 一真,事業企画部 ディレクター,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
株式会社ＮＳＤ,平木 裕二,ソリューションビジネス営業部 課長,【見逃し配信】Security Management Conference Roadshow 2026 Spring 名古屋 REPLAY,2026-06-22,https://www.sbbit.jp/eventinfo/detail/89272,OK
