hub,alias,event_date,event_url
Developers Summit,devsumi,20261125,https://event.shoeisha.jp/devsumi/20261125
Developers Summit,devsumi,20260911,https://event.shoeisha.jp/devsumi/20260911
MarkeZine Day,mzday,20260908,https://event.shoeisha.jp/mzday/20260908
Developers Summit,devsumi,20260821,https://event.shoeisha.jp/devsumi/20260821
HRzine Day,hrzday,20260728,https://event.shoeisha.jp/hrzday/20260728
Developers Summit,devsumi,20260716,https://event.shoeisha.jp/devsumi/20260716
Biz/Zine Day,bizzday,20260623,https://event.shoeisha.jp/bizzday/20260623
EnterpriseZine系,ezday,20260609,https://event.shoeisha.jp/ezday/20260609
MarkeZine Day,mzday,20260527,https://event.shoeisha.jp/mzday/20260527
Developers Summit,itwomensummit,20260526,https://event.shoeisha.jp/itwomensummit/20260526
MarkeZine Day,mzday,20260521,https://event.shoeisha.jp/mzday/20260521
EnterpriseZine系,soday,20260317,https://event.shoeisha.jp/soday/20260317
MarkeZine Day,mzday,20260303,https://event.shoeisha.jp/mzday/20260303
Developers Summit,devsumi,20260218,https://event.shoeisha.jp/devsumi/20260218
HRzine Day,hrzday,20260205,https://event.shoeisha.jp/hrzday/20260205
Biz/Zine Day,bizzday,20260123,https://event.shoeisha.jp/bizzday/20260123
MarkeZine Day,mzday,20260121,https://event.shoeisha.jp/mzday/20260121
Developers Summit,devboost,20251206,https://event.shoeisha.jp/devboost/20251206
Developers Summit,devsumi,20251119,https://event.shoeisha.jp/devsumi/20251119
MarkeZine Day,mzday,20251111,https://event.shoeisha.jp/mzday/20251111
EnterpriseZine系,datatech,20251107,https://event.shoeisha.jp/datatech/20251107
EnterpriseZine系,special,20251029,https://event.shoeisha.jp/special/20251029
EnterpriseZine系,special,20251017,https://event.shoeisha.jp/special/20251017
Biz/Zine Day,bizzday,20251003,https://event.shoeisha.jp/bizzday/20251003
Developers Summit,devsumi,20250926,https://event.shoeisha.jp/devsumi/20250926
Developers Summit,devsumi,20250917,https://event.shoeisha.jp/devsumi/20250917
MarkeZine Day,mzday,20250910,https://event.shoeisha.jp/mzday/20250910
EnterpriseZine系,soday,20250904,https://event.shoeisha.jp/soday/20250904
EnterpriseZine系,enterpriseitwomen,20250902,https://event.shoeisha.jp/enterpriseitwomen/20250902
HRzine Day,hrzday,20250729,https://event.shoeisha.jp/hrzday/20250729
Developers Summit,devsumi,20250717,https://event.shoeisha.jp/devsumi/20250717
Developers Summit,devsumi,20250627,https://event.shoeisha.jp/devsumi/20250627
EnterpriseZine系,ezday,20250620,https://event.shoeisha.jp/ezday/20250620
Biz/Zine Day,bizzday,20250613,https://event.shoeisha.jp/bizzday/20250613
MarkeZine Day,mzday,20250605,https://event.shoeisha.jp/mzday/20250605
HRzine Day,hrdata,20250527,https://event.shoeisha.jp/hrdata/20250527
EnterpriseZine系,soday,20250318,https://event.shoeisha.jp/soday/20250318
MarkeZine Day,mzday,20250305,https://event.shoeisha.jp/mzday/20250305
Developers Summit,devsumi,20250213,https://event.shoeisha.jp/devsumi/20250213
HRzine Day,hrzday,20250206,https://event.shoeisha.jp/hrzday/20250206
