company,name,dept_title,event_date,event_label,event_url,session_url,status
株式会社セールスフォース・ジャパン,稲葉 洋幸,Trailblazer Relations & Community,2026-08-21,,https://event.shoeisha.jp/devsumi/20260821,https://event.shoeisha.jp/devsumi/20260821/session/7125,OK
株式会社セールスフォース・ジャパン,島野 友里恵,Experience Engineer,2026-08-21,,https://event.shoeisha.jp/devsumi/20260821,https://event.shoeisha.jp/devsumi/20260821/session/7125,OK
LINEヤフー株式会社,田邊 正義,人事総務CBU 横断推進ユニット HRデータ&システムマネジメントディビジョン,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6923,OK
産学連携シンクタンク,松井 勇策,iU組織研究機構 代表理事・社労士,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6931,OK
株式会社良品計画,穴沢 真基,人事部,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6926,OK
パナソニック コネクト株式会社,永木 浩子,人事総務本部 CONNECTers' Academy 校長,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6934,OK
株式会社LIXIL,中井 辰夫,常務役員 Human Resources 部門 日本人事総務リーダー,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6930,OK
アチーブメントHRソリューションズ株式会社,笠原 雅也,事業企画部 事業推進チーム 兼 組織変革コンサルティング部 OSC準備室,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6935,OK
株式会社ヤプリ,三小田 実,執行役員CHRO / グロービス経営大学院 客員准教授,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6929,OK
株式会社カオナビ,井上 英樹,CPO 兼 プロダクトプランニング本部 本部長,2026-07-28,,https://event.shoeisha.jp/hrzday/20260728,https://event.shoeisha.jp/hrzday/20260728/session/6924,OK
