media,article_url,publish_date,client_name,caption_raw,classification,company,dept_title,name
MarkeZine,https://markezine.jp/article/detail/39079,,,カンパニーコーポレート部 兼 マーケティング戦略部　下地 圭子氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/43226,,,シンフォニーマーケティング株式会社 代表取締役　庭山一郎氏,regex_ok,シンフォニーマーケティング株式会社,代表取締役,庭山一郎
MarkeZine,https://markezine.jp/article/detail/40504,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/43487,,,株式会社ARROVA 代表取締役 社長 荒井浩介氏,regex_ok,株式会社ARROVA,代表取締役 社長,荒井浩介
MarkeZine,https://markezine.jp/article/detail/42898,,,阿部 成行（あべ・しげゆき）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/43657,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/43875,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/43927,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/44710,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/43931,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/44761,,,博報堂　ミライデザイン事業ユニット オープンインキュベーション局 ビジネスデザインディレクター　森田英佑氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/45171,,,コカ・コーラのOESP図、左から電通 深田氏、日本コカ・コーラ 今西氏、電通 小宮氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/45223,,,株式会社Ｉ－ｎｅ　ビューティーケア事業本部　本部長　大菅研登氏,regex_ok,株式会社Ｉ－ｎｅ,ビューティーケア事業本部 本部長,大菅研登
MarkeZine,https://markezine.jp/article/detail/45787,,,株式会社オークローンマーケティング　プロダクトマネジメント ディヴィジョン PMセクション シニアスタッフ　郝 苗子氏,regex_ok,株式会社オークローンマーケティング,プロダクトマネジメント ディヴィジョン PMセクション シニアスタッフ,郝 苗子
MarkeZine,https://markezine.jp/article/detail/45787,,,株式会社サイバーエージェント　インターネット広告事業本部 第1 本部 営業局 アカウントプランナー　木村 有貴氏,regex_ok,株式会社サイバーエージェント,インターネット広告事業本部 第1 本部 営業局 アカウントプランナー,木村 有貴
MarkeZine,https://markezine.jp/article/detail/45787,,,株式会社サイバーエージェント　インターネット広告事業本部 TikTok局　卯都木 紗姫氏,regex_ok,株式会社サイバーエージェント,インターネット広告事業本部 TikTok局,卯都木 紗姫
MarkeZine,https://markezine.jp/article/detail/45507,,,Luup　COO室 室長代理　高木 僚平氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/45507,,,ホワイトグラッシーズ　代表取締役CEO　野崎 大輔氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46051,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46059,,,株式会社ブレインパッド　セールスマーケティング 副統括ディレクター　皆瀬 雄貴氏,regex_ok,株式会社ブレインパッド,セールスマーケティング 副統括ディレクター,皆瀬 雄貴
MarkeZine,https://markezine.jp/article/detail/46059,,,株式会社ブレインパッド　プロダクトマーケティング担当　中田 一平氏,regex_ok,株式会社ブレインパッド,プロダクトマーケティング担当,中田 一平
MarkeZine,https://markezine.jp/article/detail/46168,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46313,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46344,,,トライベック株式会社 DX Platform Division Unit Leader 清野勇一氏,regex_ok,トライベック株式会社,DX Platform Division Unit Leader,清野勇一
MarkeZine,https://markezine.jp/article/detail/46598,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46357,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46379,,,良品計画　オープンコミュニケーション部 CRM課　内賀嶋 美貴氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46379,,,ホワイトグラッシーズ　代表取締役CEO　野崎 大輔氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46617,,,株式会社コムスクエア 取締役 事業統括本部 技術営業統括マネージャー 春田元気氏,regex_ok,株式会社コムスクエア,取締役 事業統括本部 技術営業統括マネージャー,春田元気
MarkeZine,https://markezine.jp/article/detail/46676,,,橋本 英知氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46691,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46713,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46714,,,株式会社チアドライブ　代表取締役　保科昌孝氏,regex_ok,株式会社チアドライブ,代表取締役,保科昌孝
MarkeZine,https://markezine.jp/article/detail/46715,,,電通デジタル　コマースマーケティング部門 プロモーションデザイン部 プランニングディレクター　藤田佳吾氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46756,,,TikTok Japan　Distribution Partnership Manager　盧　淳永（ロー・スンヨン）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46757,,,アタラ株式会社 創業者 代表取締役 CEO　杉原 剛氏,regex_ok,アタラ株式会社,創業者 代表取締役 CEO,杉原 剛
MarkeZine,https://markezine.jp/article/detail/46757,,,株式会社インティメート・マージャー　代表取締役社長　簗島 亮次氏,regex_ok,株式会社インティメート・マージャー,代表取締役社長,簗島 亮次
MarkeZine,https://markezine.jp/article/detail/46796,,,株式会社中川政七商店　コミュニケーションデザイン室 MONJUプロジェクトマネージャー　中田 勇樹氏,regex_ok,株式会社中川政七商店,コミュニケーションデザイン室 MONJUプロジェクトマネージャー,中田 勇樹
MarkeZine,https://markezine.jp/article/detail/46759,,,ワンメディア株式会社　Business Produce Dept. Enterprise Business Solution Div. マネージャー／ビジネスプロデューサー　佐々木 貴大氏,regex_ok,ワンメディア株式会社,Business Produce Dept. Enterprise Business Solution Div. マネージャー／ビジネスプロデューサー,佐々木 貴大
MarkeZine,https://markezine.jp/article/detail/46771,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46797,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46800,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46811,,,三井不動産リアルティ株式会社 リテール事業本部 事業推進部 マーケティンググループ グループ長 荒木大晶氏,regex_ok,三井不動産リアルティ株式会社,リテール事業本部 事業推進部 マーケティンググループ グループ,長 荒木大晶
MarkeZine,https://markezine.jp/article/detail/46811,,,三井不動産リアルティ株式会社 リテール事業本部 事業推進部 マーケティンググループ コンサルタント 野村星斗氏,regex_ok,三井不動産リアルティ株式会社,リテール事業本部 事業推進部 マーケティンググループ コンサルタント,野村星斗
MarkeZine,https://markezine.jp/article/detail/46934,,,Sansan株式会社　Bill One事業部 マーケティング部 サイトグロースグループ マネジャー　北川 裕彬氏,regex_ok,Sansan株式会社,Bill One事業部 マーケティング部 サイトグロースグループ マネジャー,北川 裕彬
MarkeZine,https://markezine.jp/article/detail/46934,,,Sansan株式会社　Sansan事業部 マーケティング部 オンラインプロモーショングループ　小峰 かえで氏,regex_ok,Sansan株式会社,Sansan事業部 マーケティング部 オンラインプロモーショングループ,小峰 かえで
MarkeZine,https://markezine.jp/article/detail/46935,,,株式会社ACRO　マーケティングDiv CRM・ストラテジー チーム マネジャー　久保田貴晴氏,regex_ok,株式会社ACRO,マーケティングDiv CRM・ストラテジー チーム マネジャー,久保田貴晴
MarkeZine,https://markezine.jp/article/detail/46935,,,株式会社プレイド　Sales&Origination Sales Manager　内山正信氏,regex_ok,株式会社プレイド,Sales&Origination Sales Manager,内山正信
MarkeZine,https://markezine.jp/article/detail/46942,,,Revuze　CEO　Guy Yair氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46951,,,清水 大司（しみず・ひろし）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46951,,,シニアエンタ★ラボ フォーラムメンバー　林 龍太郎（はやし・りゅうたろう）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46951,,,シニアビジネスフォース・新大人研所長 安並まりや（やすなみ・まりや）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46960,,,くらしづくり・地方創生部門 観光・地域活性化ユニットマネージャー 本室晴美（もとむろ・はるみ）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46961,,,トライコーン株式会社　データ・マーケティング部 SVP of Marketing　服部 誠氏,regex_ok,トライコーン株式会社,データ・マーケティング部 SVP of Marketing,服部 誠
MarkeZine,https://markezine.jp/article/detail/46964,,,コミューン株式会社　インサイドセールス部 部長　新山 恒平氏,regex_ok,コミューン株式会社,インサイドセールス部 部長,新山 恒平
MarkeZine,https://markezine.jp/article/detail/46972,,,株式会社オースタンス 代表取締役社長 菊川 諒人（きくかわ・りょうと）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46976,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46973,,,ブランド戦略推進部 ブランド企画グループ　中洲次郎（なかす・じろう）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/46977,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/46978,,,株式会社電通グループ グループ　ビジネス開発オフィス　ディレクター 主席AIマスター　児玉拓也氏,regex_ok,株式会社電通グループ,グループ ビジネス開発オフィス ディレクター 主席AIマスター,児玉拓也
MarkeZine,https://markezine.jp/article/detail/46979,,,株式会社ベルーナ　EC事業本部　Eマーケティング部　Eマーケティング室　奈良原冬真氏,regex_ok,株式会社ベルーナ,EC事業本部 Eマーケティング部 Eマーケティング,室 奈良原冬真
MarkeZine,https://markezine.jp/article/detail/46979,,,株式会社オプト　LINEコンサルティング部　チームマネージャー　望月修斗氏,regex_ok,株式会社オプト,LINEコンサルティング部 チームマネージャー,望月修斗
