media,article_url,publish_date,client_name,caption_raw,classification,company,dept_title,name
MarkeZine,https://markezine.jp/article/detail/50452,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/48994,,,NexGen Inc.　CEO　金井 統（かない・おさむ）氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50012,,,株式会社ロッテ　マーケティング本部コミュニケーションデザイン部 メディア企画課　佐藤 美帆氏,regex_ok,株式会社ロッテ,マーケティング本部コミュニケーションデザイン部 メディア企画課,佐藤 美帆
MarkeZine,https://markezine.jp/article/detail/50012,,,株式会社電通デジタル　ソーシャルエンゲージメント部門 LINEプランニング部　森 美樹氏,regex_ok,株式会社電通デジタル,ソーシャルエンゲージメント部門 LINEプランニング部,森 美樹
MarkeZine,https://markezine.jp/article/detail/46598,,,,no_caption,,,
MarkeZine,https://markezine.jp/article/detail/49913,,,横山隆治事務所（シックスサイト）代表　横山隆治氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50695,,,アサヒビール株式会社　マーケティング本部 ビールマーケティング部 副課長　磯谷 悠二氏,regex_ok,アサヒビール株式会社,マーケティング本部 ビールマーケティング部 副課長,磯谷 悠二
MarkeZine,https://markezine.jp/article/detail/50695,,,アサヒビール株式会社マーケティング本部 ビールマーケティング部　宇都宮 敬氏,regex_ok,アサヒビール株式会社マーケティング本部,ビールマーケティング部,宇都宮 敬
MarkeZine,https://markezine.jp/article/detail/50484,,,GOKKO　BRAND事業部 事業責任者　仲子 拓也氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50484,,,セプテーニ　ショート動画開発部 エグゼクティブプロデューサー　江村 雄一氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50732,,,サツドラホールディングス株式会社　CDO 兼 株式会社サッポロドラッグストアー OMO本部 本部長 兼 マーケティング部 ゼネラルマネジャー　坂本 武史氏,regex_ok,サツドラホールディングス株式会社,CDO 兼 株式会社サッポロドラッグストアー OMO本部 本部長 兼 マーケティング部 ゼネラルマネジャー,坂本 武史
MarkeZine,https://markezine.jp/article/detail/50696,,,スポティファイジャパン　執行役員 カスタマーサクセス本部長　林 大輔氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50696,,,電通デジタル　プラットフォーム部門 プラットフォーム4部　小尾口 陽菜氏,needs_ai,,,
MarkeZine,https://markezine.jp/article/detail/50760,,,ライオン株式会社　国内ビジネスユニット コミュニケーションデザイン部 メディア管理室　神田 正樹氏,regex_ok,ライオン株式会社,国内ビジネスユニット コミュニケーションデザイン部 メディア管理室,神田 正樹
MarkeZine,https://markezine.jp/article/detail/50760,,,朝日放送ラジオ株式会社　東京支社 デジタルプロデュース部 兼 メディア推進部　真島 秀登氏,regex_ok,朝日放送ラジオ株式会社,東京支社 デジタルプロデュース部 兼 メディア推進部,真島 秀登
MarkeZine,https://markezine.jp/article/detail/50762,,,株式会社ワークマン　営業企画部 マーケティング戦略グループ マネージャー　荻原勇太氏,regex_ok,株式会社ワークマン,営業企画部 マーケティング戦略グループ マネージャー,荻原勇太
