media,article_url,publish_date,company,dept_title,name
MarkeZine,https://markezine.jp/article/detail/43226,2024-11-22,シンフォニーマーケティング株式会社,代表取締役,庭山一郎
MarkeZine,https://markezine.jp/article/detail/43487,2024-12-27,株式会社ARROVA,代表取締役 社長,荒井浩介
MarkeZine,https://markezine.jp/article/detail/45223,2025-02-19,株式会社Ｉ－ｎｅ,ビューティーケア事業本部 本部長,大菅研登
MarkeZine,https://markezine.jp/article/detail/45787,2024-12-16,株式会社オークローンマーケティング,プロダクトマネジメント ディヴィジョン PMセクション シニアスタッフ,郝 苗子
MarkeZine,https://markezine.jp/article/detail/45787,2024-12-16,株式会社サイバーエージェント,インターネット広告事業本部 第1 本部 営業局 アカウントプランナー,木村 有貴
MarkeZine,https://markezine.jp/article/detail/45787,2024-12-16,株式会社サイバーエージェント,インターネット広告事業本部 TikTok局,卯都木 紗姫
MarkeZine,https://markezine.jp/article/detail/46059,2025-06-23,株式会社ブレインパッド,セールスマーケティング 副統括ディレクター,皆瀬 雄貴
MarkeZine,https://markezine.jp/article/detail/46059,2025-06-23,株式会社ブレインパッド,プロダクトマーケティング担当,中田 一平
MarkeZine,https://markezine.jp/article/detail/46344,2025-03-28,トライベック株式会社,DX Platform Division Unit Leader,清野勇一
MarkeZine,https://markezine.jp/article/detail/46617,2024-11-07,株式会社コムスクエア,取締役 事業統括本部 技術営業統括マネージャー,春田元気
MarkeZine,https://markezine.jp/article/detail/46714,2024-11-01,株式会社チアドライブ,代表取締役,保科昌孝
MarkeZine,https://markezine.jp/article/detail/46757,2025-01-15,アタラ株式会社,創業者 代表取締役 CEO,杉原 剛
MarkeZine,https://markezine.jp/article/detail/46757,2025-01-15,株式会社インティメート・マージャー,代表取締役社長,簗島 亮次
MarkeZine,https://markezine.jp/article/detail/46759,2024-10-31,ワンメディア株式会社,Business Produce Dept. Enterprise Business Solution Div. マネージャー／ビジネスプロデューサー,佐々木 貴大
MarkeZine,https://markezine.jp/article/detail/46796,2024-12-19,株式会社中川政七商店,コミュニケーションデザイン室 MONJUプロジェクトマネージャー,中田 勇樹
MarkeZine,https://markezine.jp/article/detail/46811,2024-11-08,三井不動産リアルティ株式会社,リテール事業本部 事業推進部 マーケティンググループ グループ,長 荒木大晶
MarkeZine,https://markezine.jp/article/detail/46811,2024-11-08,三井不動産リアルティ株式会社,リテール事業本部 事業推進部 マーケティンググループ コンサルタント,野村星斗
MarkeZine,https://markezine.jp/article/detail/46934,2024-10-30,Sansan株式会社,Bill One事業部 マーケティング部 サイトグロースグループ マネジャー,北川 裕彬
MarkeZine,https://markezine.jp/article/detail/46934,2024-10-30,Sansan株式会社,Sansan事業部 マーケティング部 オンラインプロモーショングループ,小峰 かえで
MarkeZine,https://markezine.jp/article/detail/46935,2024-11-07,株式会社ACRO,マーケティングDiv CRM・ストラテジー チーム マネジャー,久保田貴晴
MarkeZine,https://markezine.jp/article/detail/46935,2024-11-07,株式会社プレイド,Sales&Origination Sales Manager,内山正信
MarkeZine,https://markezine.jp/article/detail/46961,2024-11-01,トライコーン株式会社,データ・マーケティング部 SVP of Marketing,服部 誠
MarkeZine,https://markezine.jp/article/detail/46964,2024-11-14,コミューン株式会社,インサイドセールス部 部長,新山 恒平
MarkeZine,https://markezine.jp/article/detail/46978,2024-12-03,株式会社電通グループ,グループ ビジネス開発オフィス ディレクター 主席AIマスター,児玉拓也
MarkeZine,https://markezine.jp/article/detail/46979,2024-11-06,株式会社ベルーナ,EC事業本部 Eマーケティング部 Eマーケティング,室 奈良原冬真
MarkeZine,https://markezine.jp/article/detail/46979,2024-11-06,株式会社オプト,LINEコンサルティング部 チームマネージャー,望月修斗
MarkeZine,https://markezine.jp/article/detail/46994,2024-11-21,株式会社スギ薬局,デジタルマーケティング部 部長,増田瞬
MarkeZine,https://markezine.jp/article/detail/46995,2024-12-25,株式会社電通,CXクリエーティブ・センター グループ・クリエーティブ・ディレクター,川名宏昌
MarkeZine,https://markezine.jp/article/detail/46995,2024-12-25,株式会社東北新社,プロダクション事業部 クリエイティブセンター／OND°／TFCPlus エグゼクティブディレクター 兼 企画演出部長,小栗洋平
MarkeZine,https://markezine.jp/article/detail/46996,2025-01-10,右：株式会社セガ,エックスディー 取締役 執行役員 COO／ゲーミフィケーションデザイナー,伊藤真人
MarkeZine,https://markezine.jp/article/detail/46997,2024-12-05,株式会社ビーアイシーピー・データ,代表取締役,渡邉桂子
MarkeZine,https://markezine.jp/article/detail/46998,2024-11-13,株式会社ビーケージャパンホールディングス,マーケティング本部 マーケティングディレクター,麦敏光
MarkeZine,https://markezine.jp/article/detail/46999,2024-12-06,株式会社メリーチョコレートカムパニー,マーケティング本部 執行役員 本部長,高田基位
MarkeZine,https://markezine.jp/article/detail/47003,2024-12-06,クリエイティブサーベイ株式会社,代表取締役,石野 真吾
MarkeZine,https://markezine.jp/article/detail/47005,2024-11-15,春日井製菓販売株式会社,おかしな実験室 室長,原 智彦
MarkeZine,https://markezine.jp/article/detail/47011,2024-11-29,株式会社Mizkan,Holdings 執行役員 日本＋アジア事業 CRM本部長,林 太郎
MarkeZine,https://markezine.jp/article/detail/47012,2024-12-25,株式会社ディー・エヌ・エー,ライブコミュニティ事業本部 Pococha事業部 マーケティング部 部長／CMO,村口 賢一郎
MarkeZine,https://markezine.jp/article/detail/47012,2024-12-25,株式会社ディー・エヌ・エー,ライブコミュニティ事業本部 Pococha事業部 マーケティング部 ストラテジー・リサーチグループ グループマネージャー,川口 隆史
MarkeZine,https://markezine.jp/article/detail/47042,2024-12-12,株式会社ブランドテーラー,代表取締役,乙幡 満男
MarkeZine,https://markezine.jp/article/detail/47042,2024-12-12,レック株式会社,本社開発統括本部 ウエルネス部 ウエルネス課 課長,萩原 智之
