media,article_url,publish_date,company,dept_title,name
MarkeZine,https://markezine.jp/article/detail/50829,2026-07-16,株式会社サンシャインエンタプライズ,事業企画部 マネージャー,金子 実和子
MarkeZine,https://markezine.jp/article/detail/50829,2026-07-16,株式会社電通デジタル,エクスペリエンス＆コマース第1部門 クロスプロモーション第2事業部 グループマネージャー,伊藤 大樹
EnterpriseZine,https://enterprisezine.jp/article/detail/24574,2026-07-16,株式会社ナック,経理部 シェアードサービス室 室長,林宣宏
EnterpriseZine,https://enterprisezine.jp/article/detail/24706,2026-07-16,サントリーホールディングス株式会社,デジタル&AI本部 デジタル&AIテクノロジー部 部長,加藤芳彦
EnterpriseZine,https://enterprisezine.jp/article/detail/24706,2026-07-16,ULSコンサルティング株式会社,AI駆動開発推進室 AI駆動開発 シニア・マネージャー,南原錦善
EnterpriseZine,https://enterprisezine.jp/article/detail/24708,2026-07-16,DataRobot Japan株式会社,カントリーマネージャー,滝沢理
EnterpriseZine,https://enterprisezine.jp/article/detail/24710,2026-07-16,株式会社インフォマート,Data・AI Lab 部長 石倉茂氏、事業企画部 部長,関塚陽平
EnterpriseZine,https://enterprisezine.jp/article/detail/24714,2026-07-16,ビザ・ワールドワイド・ジャパン株式会社,法人ソリューションズ 本部長,松田海
EnterpriseZine,https://enterprisezine.jp/article/detail/24714,2026-07-16,株式会社朝日新聞社,コーポレート本部 経営企画ユニット,主査 祖父江開斗
EnterpriseZine,https://enterprisezine.jp/article/detail/24714,2026-07-16,株式会社石垣,企画推進部 情報システム課 課長,中村晋
EnterpriseZine,https://enterprisezine.jp/article/detail/24714,2026-07-16,株式会社,ファーストリテイリング グローバル計画管理部 統括部長,杉崎克宏
Biz/Zine,https://bizzine.jp/article/detail/13285,2026-07-16,株式会社ローランド・ベルガー,シニアパートナー,田村誠一
ProductZine,https://codezine.jp/article/detail/24345,2026-07-16,株式会社MonotaRO,AI駆動開発チームリーダー,市原功太郎
MarkeZine,https://markezine.jp/article/detail/77103,2026-07-15,花王株式会社,ヘルスビューティケア事業部門 スキンケア事業部 ビオレ ブランドダイレクター,小林 達郎
MarkeZine,https://markezine.jp/article/detail/50839,2026-07-15,株式会社マッシュスタイルラボ,EC事業本部 MASHストア運営部 兼 DX・システム部 部長,今井 貴大
EnterpriseZine,https://enterprisezine.jp/article/detail/24532,2026-07-15,モルゲンロット株式会社,営業本部 マーケティング部 部長,添田貴嗣
AIdiver,https://aidiver.jp/article/detail/603,2026-07-15,株式会社カインズ,カスタマーサービス部 部長,中村康人
MarkeZine,https://markezine.jp/article/detail/50782,2026-07-14,株式会社ハードオフコーポレーション,リンクチャネル推進室 室長,伊藤 理沙
MarkeZine,https://markezine.jp/article/detail/50782,2026-07-14,ZETA株式会社,シニアセールス,段 涼馬
MarkeZine,https://markezine.jp/article/detail/53229,2026-07-13,はなさく生命保険株式会社,ダイレクトマーケット推進部 担当部長,畝村 直弥
MarkeZine,https://markezine.jp/article/detail/53229,2026-07-13,はなさく生命保険株式会社,ダイレクトマーケット推進部兼経営企画部 課長,日下部 奈緒美
MarkeZine,https://markezine.jp/article/detail/53229,2026-07-13,株式会社電通デジタル,データ＆AIソリューションセンター AIイノベーション事業部 グループマネージャー,櫻井 康人
MarkeZine,https://markezine.jp/article/detail/77031,2026-07-13,アサヒビール株式会社,マーケティング本部 ビールマーケティング部,堀 謙太
EnterpriseZine,https://enterprisezine.jp/article/detail/24559,2026-07-13,株式会社セゾンテクノロジー,データインテグレーション,事業部 笹田結里花
AIdiver,https://aidiver.jp/article/detail/515,2026-07-13,燈株式会社,DX Solution事業本部 Physical AI Consultant,石本幸暉
MarkeZine,https://markezine.jp/article/detail/50732,2026-07-10,サツドラホールディングス株式会社,CDO 兼 株式会社サッポロドラッグストアー OMO本部 本部長 兼 マーケティング部 ゼネラルマネジャー,坂本 武史
MarkeZine,https://markezine.jp/article/detail/50766,2026-07-10,株式会社JTB,執行役員 ブランディング・マーケティング 広報担当（CMO）,風口 悦子
MarkeZine,https://markezine.jp/article/detail/77147,2026-07-10,花王株式会社,化粧品事業部門 マステージブランドビジネスグループ KATEブランドマネジャー,岩田 有弘
Biz/Zine,https://bizzine.jp/article/detail/13321,2026-07-10,左から）ユニ・チャーム株式会 多田知弘氏、ストラットコンサルティング株式会社,池側千絵氏、ユニ・チャーム,株式会社 入江彰彦
MarkeZine,https://markezine.jp/article/detail/77019,2026-07-09,株式会社サイバーエージェント,効果おまかせAI事業 事業責任者,池田 誠児
Biz/Zine,https://bizzine.jp/article/detail/12916,2026-07-09,日本マイクロソフト株式会社,業務執行役員 NTO,田丸健三郎
MarkeZine,https://markezine.jp/article/detail/50763,2026-07-08,株式会社博報堂,CXクリエイティブ局 エクスペリエンスディレクター,中島 優人
MarkeZine,https://markezine.jp/article/detail/50763,2026-07-08,株式会社博報堂テクノロジーズ,Technical Lead,岸本 悠祐
MarkeZine,https://markezine.jp/article/detail/76969,2026-07-08,株式会社Box,Japan 専務執行役員 パートナー事業担当 マーケティング担当,安達 徹也
MarkeZine,https://markezine.jp/article/detail/77072,2026-07-08,亀田製菓株式会社,マーケティング戦略部 ハッピーターンブランド担当マネージャー,歴舎 直輝
MarkeZine,https://markezine.jp/article/detail/77086,2026-07-08,JALデジタル株式会社,デジタルソリューション,部 岡本昂之
MarkeZine,https://markezine.jp/article/detail/77086,2026-07-08,JALデジタル株式会社,デジタル戦略部,豊田瑛都
MarkeZine,https://markezine.jp/article/detail/77086,2026-07-08,株式会社ブレインパッド,データエンジニアリングユニット ディレクター,堀川亮
MarkeZine,https://markezine.jp/article/detail/77086,2026-07-08,株式会社ブレインパッド,セールス＆マーケティングユニット シニアマネジャー,松本洋介
AIdiver,https://aidiver.jp/article/detail/590,2026-07-07,株式会社日立製作所,DSSセクター Deputy Head of AI CoE 兼 CAXO,吉田順
EnterpriseZine,https://enterprisezine.jp/article/detail/24209,2026-07-07,東京大学大学院,情報理工学系研究科 教授,江崎浩
MarkeZine,https://markezine.jp/article/detail/50834,2026-07-06,株式会社TBWA\HAKUHODO,Chief Creative Officer／Disruption Lab,細田 高広
MarkeZine,https://markezine.jp/article/detail/50835,2026-07-03,株式会社カウシェ,CMO,前本 航太
MarkeZine,https://markezine.jp/article/detail/77093,2026-07-03,花王株式会社,化粧品事業部門 キュレルブランドマネジャー,原田 慎吾
MarkeZine,https://markezine.jp/article/detail/50877,2026-07-02,株式会社リクルート,マーケティング室 室長,石井智之
EnterpriseZine,https://enterprisezine.jp/article/detail/24391,2026-07-01,サミット株式会社,情報システム部／企画・開発グループ,小池朋昭
Biz/Zine,https://bizzine.jp/article/detail/12917,2026-07-01,ダイキン工業株式会社,知的財産部長,安部剛夫
MarkeZine,https://markezine.jp/article/detail/50878,2026-06-30,株式会社EVERRISE,執行役員CMO,松本 健太郎
MarkeZine,https://markezine.jp/article/detail/50816,2026-06-30,ソニーネットワークコミュニケーションズ株式会社,マーケティング部門 デジタルマーケティング,部企画課 渡邉裕人
AIdiver,https://aidiver.jp/article/detail/345,2026-06-30,一般社団法人AICX協会,代表理事,小澤建祐
MarkeZine,https://markezine.jp/article/detail/50825,2026-06-29,公益社団法人日本マーケティング協会,事務局長,河野 安彦
MarkeZine,https://markezine.jp/article/detail/76989,2026-06-26,株式会社才流,シニアコンサルタント,桂川 誠
EnterpriseZine,https://enterprisezine.jp/article/detail/24465,2026-06-26,経済産業省,経済産業副大臣,山田賢司
EnterpriseZine,https://enterprisezine.jp/article/detail/24465,2026-06-26,株式会社東京証券取引所,執行役員,礒本直樹
EnterpriseZine,https://enterprisezine.jp/article/detail/24465,2026-06-26,独立行政法人情報処理推進機構,理事,三谷慶一郎
EnterpriseZine,https://enterprisezine.jp/article/detail/24546,2026-06-26,グーグル・クラウド・ジャパン合同会社,データベース事業本部 事業開発部長,大久保順
MarkeZine,https://markezine.jp/article/detail/50822,2026-06-25,中央大学,名誉教授／東京大学 講師,田中 洋
MarkeZine,https://markezine.jp/article/detail/50870,2026-06-25,アディダスジャパン株式会社,コンシューマーエクスペリエンス シニアディレクター,太田公滋
MarkeZine,https://markezine.jp/article/detail/50762,2026-06-24,株式会社ワークマン,営業企画部 マーケティング戦略グループ マネージャー,荻原勇太
MarkeZine,https://markezine.jp/article/detail/50765,2026-06-24,アドビ株式会社,ジャパントランスフォーメーション本部 プリンシパルビジネスデベロップメント マネージャー,阿部 成行
EnterpriseZine,https://enterprisezine.jp/article/detail/24384,2026-06-24,東京大学 大学院情報理工学系研究科 数理情報学専攻 教授,,高木剛
ProductZine,https://codezine.jp/article/detail/24292,2026-06-23,株式会社MIXI,ライブエクスペリエンス事業本部 企画推進部 エンジニアリング支援グループ,數藤智幸
ProductZine,https://codezine.jp/article/detail/24292,2026-06-23,株式会社MIXI,ライブエクスペリエンス事業本部 企画推進部 スポーツマーケティングDXグループ,餌取瑞紀
MarkeZine,https://markezine.jp/article/detail/76975,2026-06-22,株式会社ファミリーマート,エグゼクティブディレクター CSCO補佐（商品価値・MD改革）,南雲 克明
MarkeZine,https://markezine.jp/article/detail/50736,2026-06-22,株式会社ADKマーケティング・ソリューションズ,執行役員 ビジネス・トランスフォーメーション・デザイン本部長,三橋 良平
Biz/Zine,https://bizzine.jp/article/detail/13217,2026-06-19,アトラシアン株式会社,マーケティング統括マネージャー,朝岡絵里子
MarkeZine,https://markezine.jp/article/detail/50760,2026-06-18,ライオン株式会社,国内ビジネスユニット コミュニケーションデザイン部 メディア管理室,神田 正樹
MarkeZine,https://markezine.jp/article/detail/50760,2026-06-18,朝日放送ラジオ株式会社,東京支社 デジタルプロデュース部 兼 メディア推進部,真島 秀登
MarkeZine,https://markezine.jp/article/detail/50824,2026-06-18,カゴメ株式会社,マーケティング本部 飲料企画部,西澤 侃
EnterpriseZine,https://enterprisezine.jp/article/detail/24472,2026-06-18,フォーティネットジャパン合同会社,社長執行役員,与沢和紀
Biz/Zine,https://bizzine.jp/article/detail/12983,2026-06-16,株式会社BIOTOPE,代表,佐宗邦威
MarkeZine,https://markezine.jp/article/detail/50695,2026-06-15,アサヒビール株式会社,マーケティング本部 ビールマーケティング部 副課長,磯谷 悠二
MarkeZine,https://markezine.jp/article/detail/50695,2026-06-15,アサヒビール株式会社マーケティング本部,ビールマーケティング部,宇都宮 敬
MarkeZine,https://markezine.jp/article/detail/50749,2026-06-12,株式会社電通,マーケティング統括センター メディアイノベーション研究部 主任研究員,森永陸一郎
MarkeZine,https://markezine.jp/article/detail/50710,2026-06-11,株式会社Mizkan,コミュニケーション本部 コミュニケーションデザイン部 メディアチーム 主任,伊山 裕人
MarkeZine,https://markezine.jp/article/detail/53233,2026-06-11,新会社の代表を務める株式会社セブン-イレブン・ジャパン,新規事業推進室 統括マネジャー,杉浦克樹
MarkeZine,https://markezine.jp/article/detail/50855,2026-06-09,株式会社ロッテ,マーケティング本部 第一ブランド戦略部 焼き菓子企画課,久保田 祐揮
MarkeZine,https://markezine.jp/article/detail/50631,2026-06-09,Meta日本法人Facebook Japan合同会社,Agency Solutions Manager,山中 壮
MarkeZine,https://markezine.jp/article/detail/50631,2026-06-09,株式会社電通デジタル,マーケティングコミュニケーション領域 第1アカウントプランニング部門 第1事業部,笹野 倫史
MarkeZine,https://markezine.jp/article/detail/50631,2026-06-09,株式会社サイバーエージェント,インターネット広告事業本部 ネクスト本部 Meta局,堀内 麻衣
EnterpriseZine,https://enterprisezine.jp/article/detail/24311,2026-06-09,株式会社セゾンテクノロジー,CTO 兼 開発本部 副本部長,高坂亮多
EnterpriseZine,https://enterprisezine.jp/article/detail/24311,2026-06-09,株式会社セゾンテクノロジー,開発本部 プロダクトマネジメント部 部長,福泊晶
MarkeZine,https://markezine.jp/article/detail/53094,2026-06-08,株式会社HubOne,Chief Marketer アカウントマネージャー,小向雄大
EnterpriseZine,https://enterprisezine.jp/article/detail/24019,2026-06-08,富士通株式会社,総務本部 FTP（Fujitsu Technology Park）再開発室長,阪本陽二
EnterpriseZine,https://enterprisezine.jp/article/detail/24135,2026-06-04,特定非営利活動法人金融IT協会,理事＆検定WG長／SBI金融経済研究所株式会社 統括主任研究員,中山靖司
MarkeZine,https://markezine.jp/article/detail/50767,2026-05-29,同マーケティング本部 新顧客創造研究所,プロダクトイノベーション部 主任,藤澤 さやか
MarkeZine,https://markezine.jp/article/detail/50564,2026-05-28,株式会社再春館製薬所,ドモホルンリンクル事業部 初回新接点開発 担当部長 オンライン広告・SNS マネージャー,有働 千春
Biz/Zine,https://bizzine.jp/article/detail/12982,2026-05-28,旭化成ホームズ株式会社,執行役員 DX・IT推進本部 本部長,中村干城
EnterpriseZine,https://enterprisezine.jp/article/detail/24049,2026-05-28,Okta Japan株式会社,フィールドCTO室 フィールドCTO,日本担当 井坂源樹
EnterpriseZine,https://enterprisezine.jp/article/detail/24065,2026-05-28,ライフネット生命保険株式会社 IT戦略部,部長 兼 システム企画部 部長,竹山真人
Biz/Zine,https://bizzine.jp/article/detail/12982,2026-05-28,旭化成ホームズ株式会社,執行役員 LONGLIFE戦略推進本部長,野口豪之
MarkeZine,https://markezine.jp/article/detail/50654,2026-05-27,TOPPAN株式会社,情報ソリューションBU エクスペリエンスデザイン本部,服部 憲
MarkeZine,https://markezine.jp/article/detail/50402,2026-05-27,カバヤ食品株式会社,トレードマーケティング本部 リテールメディア部 部長,竹見 憲一
MarkeZine,https://markezine.jp/article/detail/50402,2026-05-27,アンファー株式会社,スカルプＤ本部 スカルプＤ ブランドマネージャー,吉川 竜司
MarkeZine,https://markezine.jp/article/detail/50654,2026-05-27,株式会社インテグレート,戦略コンサルティング事業本部 CXデザイン部,川又 大二郎
EnterpriseZine,https://enterprisezine.jp/article/detail/24165,2026-05-27,合同会社デロイト,トーマツ ファイナンスアドバイザリー&オペレーション マネージングディレクター／公認会計士,浜島常雄
EnterpriseZine,https://enterprisezine.jp/article/detail/24250,2026-05-27,鴻池運輸株式会社,執行役員 ICT推進本部 本部長 兼 業務改革推進本部 副本部長,佐藤雅哉
AIdiver,https://aidiver.jp/article/detail/506,2026-05-27,株式会社リクルート,経営戦略 新規事業開発室 事業創出部 部長,宗藤和徳
MarkeZine,https://markezine.jp/article/detail/76787,2026-05-26,株式会社ベルーナ,制作室 室長,新井 孝史
EnterpriseZine,https://enterprisezine.jp/article/detail/24171,2026-05-26,HENNGE株式会社 HENNGE,One プロダクト企画責任者,渡辺宏哉
EnterpriseZine,https://enterprisezine.jp/article/detail/24171,2026-05-26,HENNGE株式会社 HENNGE,Endpoint & Managed Security プロダクトマネージャー,須佐和希
EnterpriseZine,https://enterprisezine.jp/article/detail/24171,2026-05-26,HENNGE株式会社 HENNGE,Mesh Network プロダクトマネージャー,安齋早央里
MarkeZine,https://markezine.jp/article/detail/50570,2026-05-25,ヤマハ発動機株式会社,IT本部 データドリブン推進部,王 逍雨
MarkeZine,https://markezine.jp/article/detail/50570,2026-05-25,ヤマハモーターソリューション株式会社,デジタルソリューション事業部 デジタルプロダクト推進部 デジタルマーケティング推進グループ,桜井 良子
